player_id: 6886, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6887, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6888, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6889, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6890, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6891, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6892, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6893, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6894, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6895, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
